image	English query	German query
https://tlk.s3.yandex.net/Fashion-200K/91027441_0.jpeg	Half sleeves blue tshirt with text written on front	Blaues T-Shirt mit halben Ärmeln und Text auf der Vorderseite
https://tlk.s3.yandex.net/Fashion-200K/91300256_0.jpeg	gray loose sweater, turtle neck, long sleeves	grauer loser Pullover, Rollkragen, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/91080520_1.jpeg	Women's black slim fit work pants	Schwarze Slim Fit Arbeitshose für Damen
https://tlk.s3.yandex.net/Fashion-200K/90367523_1.jpeg	light pink skinny denim pants, casual pants	hellrosa dünne Jeanshose, Freizeithose
https://tlk.s3.yandex.net/Fashion-200K/70968666_8.jpeg	Black khaki casual pants outfit wear	Schwarze Khaki Freizeithose Outfit Wear
https://tlk.s3.yandex.net/Fashion-200K/91098438_1.jpeg	YOHJI YAMAMOTO Long Skirt in Black ModeSens	YOHJI YAMAMOTO Langer Rock in Schwarz ModeSens
https://tlk.s3.yandex.net/Fashion-200K/91408625_1.jpeg	black midi loose skirt, casual skirt	schwarzer Midi-loser Rock, lässiger Rock
https://tlk.s3.yandex.net/Fashion-200K/89431209_2.jpeg	Women's white floral pattern casual pants	Freizeithose mit weißem Blumenmuster für Damen
https://tlk.s3.yandex.net/Fashion-200K/91036656_1.jpeg	red violet distressed skinny pants, casual pants	rotviolette Distressed-Röhrenhose, Freizeithose
https://tlk.s3.yandex.net/Fashion-200K/91433451_1.jpeg	grey and black gradient full sleeves jacket with zipper closure	jacke mit langen Ärmeln und Reißverschluss in Grau und Schwarz mit Farbverlauf
https://tlk.s3.yandex.net/Fashion-200K/90859330_2.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/89934425_2.jpeg	women suit horse blood color medium size	damen anzug Pferdeblut farbe mittlere Größe
https://tlk.s3.yandex.net/Fashion-200K/91321573_1.jpeg	black long sleeves, fur winter jacket	schwarze lange Ärmel, Pelz-Winterjacke
https://tlk.s3.yandex.net/Fashion-200K/89940603_0.jpeg	womens double layer, full-half sleeve, sheer-polyester, light blue, above knee length dress.	damen Doppelschicht, Voll-Halbarm, transparentes Polyester, hellblau, über knielanges Kleid.
https://tlk.s3.yandex.net/Fashion-200K/91254615_1.jpeg	Women's white and black spotted shirt blouse	Weiße und schwarz gepunktete Hemdbluse für Damen
https://tlk.s3.yandex.net/Fashion-200K/90008647_3.jpeg	Red puffer jacket with faux fur for women	Rote Pufferjacke mit Kunstfell für Damen
https://tlk.s3.yandex.net/Fashion-200K/91229937_1.jpeg	black fancy long dress, flowy sleeves	schwarzes ausgefallenes langes Kleid, fließende Ärmel
https://tlk.s3.yandex.net/Fashion-200K/88859448_1.jpeg	casual multicolor printed knee length skirt	lässiger mehrfarbig bedruckter knielanger Rock
https://tlk.s3.yandex.net/Fashion-200K/91370696_2.jpeg	women open back above knee black dress long sleeve	damen offener Rücken über dem Knie schwarzes Kleid Langarm
https://tlk.s3.yandex.net/Fashion-200K/90717244_0.jpeg	Women's brown and gold healed shoes	Damenschuhe in Braun und Gold geheilt
https://tlk.s3.yandex.net/Fashion-200K/59882175_1.jpeg	brown midi skirt, a-line casual skirt	brauner Midirock, A-Linien-Freizeitrock
https://tlk.s3.yandex.net/Fashion-200K/91107325_0.jpeg	Jogger fit red colour casual trousers	Jogger Fit rote Farbe Freizeithose
https://tlk.s3.yandex.net/Fashion-200K/91243526_3.jpeg	White floral knee length dress for women	Weißes knielanges Blumenkleid für Frauen
https://tlk.s3.yandex.net/Fashion-200K/65950139_1.jpeg	Maroon satin waistcoat casual party wear	Kastanienbraune Satinweste lässige Partykleidung
https://tlk.s3.yandex.net/Fashion-200K/90974907_1.jpeg	black long sleeved casual fitted top	schwarzes, langärmeliges, lässig geschnittenes Oberteil
https://tlk.s3.yandex.net/Fashion-200K/88751502_3.jpeg	womens casual black cotton coat, short, with tie up belt	lässiger schwarzer Damen Baumwollmantel, kurz, mit Bindegürtel
https://tlk.s3.yandex.net/Fashion-200K/90623309_0.jpeg	Women's brown open toe wedge heels	Damen braune offene Zehenkeilabsätze
https://tlk.s3.yandex.net/Fashion-200K/91342307_0.jpeg	brown casual above knee dress and skirt	braunes lässiges Kleid und Rock über dem Knie
https://tlk.s3.yandex.net/Fashion-200K/91243726_0.jpeg	sleeveless black formal gown with stitched flowers	ärmelloses schwarzes formelles Kleid mit aufgenähten Blumen
https://tlk.s3.yandex.net/Fashion-200K/91224266_2.jpeg	white casual shirt, short sleeved, soft material	weißes Freizeithemd, Kurzarm, weiches Material
https://tlk.s3.yandex.net/Fashion-200K/90580109_2.jpeg	Women's white cotton zip up bomber	Weißer Baumwoll-Bomber mit Reißverschluss für Damen
https://tlk.s3.yandex.net/Fashion-200K/91309237_1.jpeg	slim black trouser long tight for women	schmale schwarze Hose lang tight für Damen
https://tlk.s3.yandex.net/Fashion-200K/90891369_0.jpeg	blue flowy evening dress, lace spaghetti strap	blaues fließendes Abendkleid, Spaghettiträger aus Spitze
https://tlk.s3.yandex.net/Fashion-200K/90310516_2.jpeg	orange midi skater skirt, lace, formal skirt	orangefarbener Midi-Skaterrock, Spitze, formeller Rock
https://tlk.s3.yandex.net/Fashion-200K/87749922_3.jpeg	Women's blue cotton pant suit office	Blauer Hosenanzug aus Baumwolle für Damen Büro
https://tlk.s3.yandex.net/Fashion-200K/90856258_4.jpeg	womens casual brown cotton capris with side pockets	lässige braune Baumwoll-Damen-Capris mit Seitentaschen
https://tlk.s3.yandex.net/Fashion-200K/90967112_0.jpeg	arm less dress no collar women white knee level	armloses Kleid ohne Kragen Damen weiß Kniehöhe
https://tlk.s3.yandex.net/Fashion-200K/89598335_4.jpeg	Women's black sleeveless leather jacket casual	Damen schwarze ärmellose Lederjacke lässig
https://tlk.s3.yandex.net/Fashion-200K/90825924_3.jpeg	full sleeves tan colored hooded winter jacket	volle Ärmel Tan farbige Kapuzen-Winterjacke
https://tlk.s3.yandex.net/Fashion-200K/91016092_3.jpeg	Women's black short sleeved skirt dress	Schwarzes kurzärmeliges Rockkleid für Damen
https://tlk.s3.yandex.net/Fashion-200K/88276709_1.jpeg	blue skinny formal office slacks, soft material	blaue dünne formale Bürohose, weiches Material
https://tlk.s3.yandex.net/Fashion-200K/91416288_2.jpeg	Women's lace floral pattern casual dress	Lässiges Kleid mit Blumenmuster aus Spitze für Damen
https://tlk.s3.yandex.net/Fashion-200K/88570293_2.jpeg	blue flowy loose pants, shjny fabric	blaue fließende weite Hose, shjny Stoff
https://tlk.s3.yandex.net/Fashion-200K/89699993_6.jpeg	womens nave blue abstract pattern blend blazers	damen nave blau abstrakte muster mischung Blazer
https://tlk.s3.yandex.net/Fashion-200K/85455244_0.jpeg	short small size jacket long sleeve women button with collar	kurze kleine Jacke Langarm Damen Knopf mit Kragen
https://tlk.s3.yandex.net/Fashion-200K/89684633_1.jpeg	Women's brown nylon bomber jacket casual	Damen braune Nylon Bomberjacke lässig
https://tlk.s3.yandex.net/Fashion-200K/91131360_0.jpeg	White leopard print full length sleeveless gown	Weißes ärmelloses Kleid mit Leopardenmuster in voller Länge
https://tlk.s3.yandex.net/Fashion-200K/71746196_0.jpeg	white midi printed skirt casual skirt	weißer Midi-bedruckter Rock lässiger Rock
https://tlk.s3.yandex.net/Fashion-200K/91355960_1.jpeg	Black Cotton Essential Leggings With Comfort Panel	Essentielle Leggings aus schwarzer Baumwolle mit Komforteinsatz
https://tlk.s3.yandex.net/Fashion-200K/91401786_3.jpeg	Women's blue cropped casual jeans pants	Blaue kurze lässige Jeanshose für Damen
https://tlk.s3.yandex.net/Fashion-200K/87919414_0.jpeg	Women's black sleeveless long dress gown	Schwarzes ärmelloses langes Kleid für Damen
https://tlk.s3.yandex.net/Fashion-200K/90152943_3.jpeg	black thick winter jacket with hood	schwarze dicke Winterjacke mit Kapuze
https://tlk.s3.yandex.net/Fashion-200K/74365920_1.jpeg	Women's blue black long skirt office casual	Damen blau schwarz langer Rock Büro lässig
https://tlk.s3.yandex.net/Fashion-200K/89579707_2.jpeg	white long cardigan, long sleeves, soft material	weißer langer Cardigan, lange Ärmel, weiches Material
https://tlk.s3.yandex.net/Fashion-200K/91117993_0.jpeg	women collar dress orange above knee, sleeve above elbow	damen Kragenkleid orange über dem Knie, Ärmel über dem Ellbogen
https://tlk.s3.yandex.net/Fashion-200K/90759486_0.jpeg	Formal black cotton trousers for office use	Formelle schwarze Baumwollhose für den Bürogebrauch
https://tlk.s3.yandex.net/Fashion-200K/89458386_3.jpeg	Women's black cotton ruffle sleeve dress	Schwarzes Kleid mit Rüschenärmeln aus Baumwolle für Damen
https://tlk.s3.yandex.net/Fashion-200K/91362325_3.jpeg	womens off shoulder, retro, cotton-lace, puffy half sleeve, white dress	damen schulterfrei, Retro, Baumwollspitze, geschwollene halbe Ärmel, weißes Kleid
https://tlk.s3.yandex.net/Fashion-200K/67923354_3.jpeg	Women's blue cropped denim jacket casual	Damen blaue kurze Jeansjacke lässig
https://tlk.s3.yandex.net/Fashion-200K/73993270_0.jpeg	floral print long flowy skirt, spft material	langer fließender Rock mit Blumendruck, SPFT-Material
https://tlk.s3.yandex.net/Fashion-200K/89661642_3.jpeg	red full sleeves dress with intricate threadwork	rotes Kleid mit langen Ärmeln und aufwändiger Fadenarbeit
https://tlk.s3.yandex.net/Fashion-200K/74825950_1.jpeg	Women's blue denim micro mini skirt	Blauer Denim-Mikro-Minirock für Damen
https://tlk.s3.yandex.net/Fashion-200K/87546533_3.jpeg	black mini button down casual dress	schwarzes Mini-Button-Down-Freizeitkleid
https://tlk.s3.yandex.net/Fashion-200K/88763689_3.jpeg	Women's white lace top and bott swimwear set	Weißes Spitzenoberteil und Bott-Badebekleidungsset für Damen
https://tlk.s3.yandex.net/Fashion-200K/90500754_0.jpeg	brown bomber jacket, shiny and soft material	braune Bomberjacke, glänzendes und weiches Material
https://tlk.s3.yandex.net/Fashion-200K/89403980_0.jpeg	Women's brown material slim fit office casual work pants	Damen braune Material Slim Fit Büro Casual Arbeitshose
https://tlk.s3.yandex.net/Fashion-200K/91422644_4.jpeg	lace material floral print, black, small flowers	spitzenmaterial Blumendruck, schwarz, kleine Blumen
https://tlk.s3.yandex.net/Fashion-200K/91001116_3.jpeg	David Lawrence Warwick  Printed Blouse MYER	David Lawrence Warwick bedruckte Bluse MYER
https://tlk.s3.yandex.net/Fashion-200K/91421811_1.jpeg	short thigh length dress for women sleeveless red color	kurzes oberschenkellanges Kleid für Damen ärmellose rote Farbe
https://tlk.s3.yandex.net/Fashion-200K/91197221_4.jpeg	womens stylish, denim blue, V neck, cover-up style, knee length dress	damen stilvoll, Jeansblau, V-Ausschnitt, Vertuschungsstil, knielanges Kleid
https://tlk.s3.yandex.net/Fashion-200K/90462190_3.jpeg	Women's grey pink running tights leggings	Damen grau rosa Laufhose Leggings
https://tlk.s3.yandex.net/Fashion-200K/91049387_0.jpeg	blue and white cotton polo tee shirt	blaues und weißes Poloshirt aus Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/91298675_0.jpeg	brown medium size long sleeve women suit one button	brauner mittelgroßer Langarm-Damenanzug mit einem Knopf
https://tlk.s3.yandex.net/Fashion-200K/91369824_2.jpeg	gray casual midi dress, long sleeves	graues lässiges Midikleid, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/80898706_0.jpeg	Women black regular fit solid casual trousers	Damen schwarze reguläre Passform feste Freizeithose
https://tlk.s3.yandex.net/Fashion-200K/91164388_0.jpeg	Women's black cotton casual blouse shirt	Lässiges Blusenhemd aus schwarzer Baumwolle für Damen
https://tlk.s3.yandex.net/Fashion-200K/88457930_0.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/91433186_2.jpeg	colorful women skirt medium length rubber waist	bunter Damenrock mittellange Gummi-Taille
https://tlk.s3.yandex.net/Fashion-200K/89982715_2.jpeg	black flowy capri pants, soft material	schwarze fließende Caprihose, weiches Material
https://tlk.s3.yandex.net/Fashion-200K/90530513_0.jpeg	Women's black partial see through leggings	Schwarze, teilweise durchsichtige Leggings für Damen
https://tlk.s3.yandex.net/Fashion-200K/89553992_0.jpeg	gray formal office wair coat, long sleeves	grauer formeller Büromantel, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/90600130_4.jpeg	Navy blue cotton material clothes fabric	Marineblaues Baumwollmaterial Kleidungsstoff
https://tlk.s3.yandex.net/Fashion-200K/89323135_0.jpeg	gray belle slacks, formal office pants	graue Belle-Hose, formelle Bürohose
https://tlk.s3.yandex.net/Fashion-200K/90720727_1.jpeg	Women's pink tank top and leggings set	Set aus rosa Tanktop und Leggings für Damen
https://tlk.s3.yandex.net/Fashion-200K/91247070_1.jpeg	light pink adidas tokong yoga pants	hellrosa adidas tokong Yogahose
https://tlk.s3.yandex.net/Fashion-200K/86636101_1.jpeg	brown loose formal office slacks, soft material	braune lockere formale Bürohose, weiches Material
https://tlk.s3.yandex.net/Fashion-200K/90166884_0.jpeg	Black nylon casual party pants outfit	Lässiges Partyhosen-Outfit aus schwarzem Nylon
https://tlk.s3.yandex.net/Fashion-200K/90837228_3.jpeg	womens-girls, half sleeve, denim black, biker jacket	damen-Mädchen, halbarm, Denim schwarz, bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/91207561_0.jpeg	Black loose fit pleated solid culottes	Schwarze, locker geschnittene, plissierte, feste Culottes
https://tlk.s3.yandex.net/Fashion-200K/91152213_1.jpeg	women long party dress ash color sleeveless plain smooth material	frauen langes Partykleid Aschefarbe ärmelloses glattes glattes Material
https://tlk.s3.yandex.net/Fashion-200K/91330745_2.jpeg	black with gold print midii dress, sleeveless	schwarzes Midii-Kleid mit Golddruck, ärmellos
https://tlk.s3.yandex.net/Fashion-200K/89834520_1.jpeg	Women's grey denim micro mini skirt	Grauer Denim-Mikro-Minirock für Damen
https://tlk.s3.yandex.net/Fashion-200K/88103655_0.jpeg	light blue elephant pants, formal office slacks	hellblaue Elefantenhose, formelle Bürohose
https://tlk.s3.yandex.net/Fashion-200K/91113198_1.jpeg	Snake print short sleeved blouse shirt	Kurzarm-Blusenhemd mit Schlangenmuster
https://tlk.s3.yandex.net/Fashion-200K/90907172_1.jpeg	traditional women short skirt black above knee	traditioneller Damen kurzer Rock schwarz über dem Knie
https://tlk.s3.yandex.net/Fashion-200K/89656531_2.jpeg	light pink button down formal shirt	formelles Hemd mit Knopfleiste in Hellrosa
https://tlk.s3.yandex.net/Fashion-200K/90747014_1.jpeg	Women's black satin cropped tank top	Kurzes Tanktop aus schwarzem Satin für Damen
https://tlk.s3.yandex.net/Fashion-200K/90534425_0.jpeg	Women's maroon button down mini skirt	Kastanienbrauner Button-Down-Minirock für Damen
https://tlk.s3.yandex.net/Fashion-200K/91263029_1.jpeg	Womens black floral long sleeve above the knee shift dress	Schwarzes Damen-Blumen-Langarm-Etuikleid über dem Knie
https://tlk.s3.yandex.net/Fashion-200K/80117824_0.jpeg	black cut out evening gown, sleeveless sheer	schwarzes ausgeschnittenes Abendkleid, ärmellos transparent
https://tlk.s3.yandex.net/Fashion-200K/88318518_0.jpeg	Wide Leg Pants for Women Farfetch	Weite Hosen für Damen Farfetch
https://tlk.s3.yandex.net/Fashion-200K/91351680_0.jpeg	pink two oiece set, vneck crop top, loose high waist pants	rosa zweiteiliges Set, Crop-Top mit V-Ausschnitt, lockere Hose mit hoher Taille
https://tlk.s3.yandex.net/Fashion-200K/90820824_1.jpeg	Women's black cotton casual long dress gown	Lässiges langes Kleid aus schwarzer Baumwolle für Damen
https://tlk.s3.yandex.net/Fashion-200K/89986706_0.jpeg	womens stylish blue polyester flower print half sleeve top	stilvolles blaues Polyester-Blumendruck-Halbarm-Oberteil für Damen
https://tlk.s3.yandex.net/Fashion-200K/90375980_0.jpeg	black tokong yoga pants, soft material	schwarze tokong Yogahose, weiches Material
https://tlk.s3.yandex.net/Fashion-200K/88461672_3.jpeg	white plain women shirt collar for office	weißer einfacher Damenhemdkragen für Büro
https://tlk.s3.yandex.net/Fashion-200K/88154915_0.jpeg	Women's black cotton casual work pants	Lässige Arbeitshose aus schwarzer Baumwolle für Damen
https://tlk.s3.yandex.net/Fashion-200K/91401717_0.jpeg	Black silk mix fit and flare evening dress	Schwarzes Fit und Flare Abendkleid aus Seidenmix
https://tlk.s3.yandex.net/Fashion-200K/90215552_0.jpeg	long tight trouser black and grey design, rubber material	lange enge Hose schwarzes und graues Design, Gummimaterial
https://tlk.s3.yandex.net/Fashion-200K/91268080_2.jpeg	black denim casual skirt, pencil skirt	schwarzer Denim-Freizeitrock, Bleistiftrock
https://tlk.s3.yandex.net/Fashion-200K/91382239_1.jpeg	womens off shoulder, sea blue, quarter puffy sleeve top	damen schulterfrei, Meerblau, Viertel-Puffärmel-Oberteil
https://tlk.s3.yandex.net/Fashion-200K/90418810_1.jpeg	Polyester blend Printed Women blue and black tights	Bedruckte Damen-Strumpfhose aus Polyestermischung in Blau und Schwarz
https://tlk.s3.yandex.net/Fashion-200K/89119691_3.jpeg	women coat black plain material, booth cut	damenmantel schwarz unifarbenes Material, Standschnitt
https://tlk.s3.yandex.net/Fashion-200K/89273531_0.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/90512273_9.jpeg	Women's red lace pattern casual skirt	Lässiger Rock mit rotem Spitzenmuster für Damen
https://tlk.s3.yandex.net/Fashion-200K/91437027_0.jpeg	Illusion Top Crystal Gown Formal  TJ Maxx	Illusion Top Kristallkleid Formell TJ Maxx
https://tlk.s3.yandex.net/Fashion-200K/66860629_1.jpeg	black leather jacket with silver sleeves	schwarze Lederjacke mit silbernen Ärmeln
https://tlk.s3.yandex.net/Fashion-200K/91414518_1.jpeg	black formal mini dress, flowy sleeves	schwarzes formelles Minikleid, fließende Ärmel
https://tlk.s3.yandex.net/Fashion-200K/91335317_0.jpeg	women red dress v-neck medium sleeve knee level	damen rotes Kleid mit V-Ausschnitt mittlere Ärmel Kniehöhe
https://tlk.s3.yandex.net/Fashion-200K/91380961_0.jpeg	White and blue cotton blazer print tshirt	Weißes und blaues Baumwoll-Blazer-Print-T-Shirt
https://tlk.s3.yandex.net/Fashion-200K/91315590_3.jpeg	Jessica Howard Jacket Chiffon Midi Dress	Jessica Howard Jacke Chiffon-Midikleid
https://tlk.s3.yandex.net/Fashion-200K/91373806_0.jpeg	women turtle neck long sleeve dress red rubber material	damen Rollkragen Langarm Kleid rot Gummimaterial
https://tlk.s3.yandex.net/Fashion-200K/91119539_1.jpeg	womens white, blend, suits and blazers	damen weiß, Blend, Anzüge und Blazer
https://tlk.s3.yandex.net/Fashion-200K/89543399_4.jpeg	Brown khaki cargo pants casual wear	Braune khakifarbene Cargohose Freizeitkleidung
https://tlk.s3.yandex.net/Fashion-200K/90985834_0.jpeg	womens red-white, flower printed, cover-ups with tie-up closure	damen rot-weiß, Blumendruck, Vertuschungen mit Schnürverschluss
https://tlk.s3.yandex.net/Fashion-200K/91346177_0.jpeg	women night gown red long sleeve sweater material	frauen Nachthemd rot langarm Pullover Material
https://tlk.s3.yandex.net/Fashion-200K/89851941_2.jpeg	Women's pink cotton blouse and skirt set	Set aus rosa Baumwollbluse und Rock für Damen
https://tlk.s3.yandex.net/Fashion-200K/91334869_0.jpeg	Women's blue cotton casual dress skirt	Damen blauer Baumwoll-Freizeitrock
https://tlk.s3.yandex.net/Fashion-200K/89004218_1.jpeg	Regular fit women black pencil pants	Regular Fit Damen schwarze Bleistifthose
https://tlk.s3.yandex.net/Fashion-200K/91163864_1.jpeg	Women's blue denim micro mini skirt	Blauer Denim-Mikro-Minirock für Damen
https://tlk.s3.yandex.net/Fashion-200K/88814273_3.jpeg	long pink open back dress for party sleeveless	langes rosa Kleid mit offenem Rücken für Party ärmellos
https://tlk.s3.yandex.net/Fashion-200K/91238053_1.jpeg	polyester blend solid green women's regular pants	reguläre Damenhose aus Polyestermischung in Grün
https://tlk.s3.yandex.net/Fashion-200K/91296150_3.jpeg	stella mccartney bi color dresses body con	stella mccartney zweifarbige Kleider body con
https://tlk.s3.yandex.net/Fashion-200K/91294746_0.jpeg	Women's black lace pattern dress skirt	Schwarzer Kleid-Rock mit Spitzenmuster für Damen
https://tlk.s3.yandex.net/Fashion-200K/91319579_1.jpeg	womens black leather latex short skirt	kurzer Damenrock aus schwarzem Lederlatex
https://tlk.s3.yandex.net/Fashion-200K/91147130_0.jpeg	Women's black cotton casual shawl cardigan	Lässiger Schal-Cardigan aus schwarzer Baumwolle für Damen
https://tlk.s3.yandex.net/Fashion-200K/91410678_0.jpeg	Maroon polyester knee length dress with sleeves	Kastanienbraunes knielanges Kleid aus Polyester mit Ärmeln
https://tlk.s3.yandex.net/Fashion-200K/88023869_1.jpeg	Women's abstract pattern casual work pants	Freizeithose mit abstraktem Muster für Damen
https://tlk.s3.yandex.net/Fashion-200K/91016149_1.jpeg	Women's silver nylon casual dress skirt	Damen Silber Nylon Freizeitkleid Rock
https://tlk.s3.yandex.net/Fashion-200K/88155129_4.jpeg	womens casual, stylish, loose fit, cotton, white, pants	damen lässig, stilvoll, lockere Passform, Baumwolle, weiß, Hose
https://tlk.s3.yandex.net/Fashion-200K/90181934_4.jpeg	Women's cream cotton casual work pants	Damen Freizeithose aus cremefarbener Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/88944892_0.jpeg	short women green gown for ome	kurzes grünes Damenkleid für Männer
https://tlk.s3.yandex.net/Fashion-200K/91114271_2.jpeg	womens cat printed, polo t-shirt in blue.	polo-T-Shirt mit Katzenprint für Damen in Blau.
https://tlk.s3.yandex.net/Fashion-200K/91184775_0.jpeg	SheIn Womens Elegant Plain Stretchy Ribbed Knit Midi	SheIn Eleganter, einfarbiger, dehnbarer Rippstrick-Midi für Damen
https://tlk.s3.yandex.net/Fashion-200K/89887354_1.jpeg	Women's brown pink yellow tights leggings	Damen braune rosa gelbe Strumpfhose Leggings
https://tlk.s3.yandex.net/Fashion-200K/91386819_0.jpeg	womens shoulder cut, full sleeve, black, knee length dress with white color blocked bottom	damen Schulterschnitt, volle Ärmel, schwarzes, knielanges Kleid mit weißem farbblockiertem Boden
https://tlk.s3.yandex.net/Fashion-200K/82008039_1.jpeg	Mens brown puffer weather jacket casual	Braune Herren Puffer Wetterjacke lässig
https://tlk.s3.yandex.net/Fashion-200K/90703816_1.jpeg	Women's white boho casual summer dress	Weißes lässiges Boho-Sommerkleid für Damen
https://tlk.s3.yandex.net/Fashion-200K/90471532_0.jpeg	womens stat fit, casual, cotton-blend, nave blue, pants	damen Stat fit, lässig, Baumwollmischung, Schiffsblau, Hose
https://tlk.s3.yandex.net/Fashion-200K/91299621_1.jpeg	Women's brown casual leather work pants	Braune lässige Leder-Arbeitshose für Damen
https://tlk.s3.yandex.net/Fashion-200K/89671178_1.jpeg	Xscape Womens Petites Lace Front Illusion Formal Dress	Xscape Damen Petites Lace Front Illusion Formelles Kleid
https://tlk.s3.yandex.net/Fashion-200K/91040534_1.jpeg	womens, casual, brown, cotton, over coat	damen, lässig, braun, Baumwolle, Übermantel
https://tlk.s3.yandex.net/Fashion-200K/89734688_0.jpeg	Women's brown khaki casual outdoor jacket	Damen braune khaki lässige Outdoorjacke
https://tlk.s3.yandex.net/Fashion-200K/88127296_0.jpeg	womens cotton-blend, black, track pant with stylish bottom line	schwarze Trainingshose für Damen aus Baumwollmischung mit stilvollem Unterteil
https://tlk.s3.yandex.net/Fashion-200K/91432718_1.jpeg	Women's jade cotton pullover sweater casual	Damen Jade Baumwollpullover Pullover lässig
https://tlk.s3.yandex.net/Fashion-200K/88272222_0.jpeg	women large trouser black for home wears	damen große Hose schwarz für zu Hause trägt
https://tlk.s3.yandex.net/Fashion-200K/75423487_0.jpeg	womens, black, lace-blend, comfortable, knee length, skirt	damen, schwarz, Spitzenmischung, bequem, knielang, Rock
https://tlk.s3.yandex.net/Fashion-200K/89608911_1.jpeg	Women's pink cotton cardigan jacket casual	Damen rosa Baumwoll-Cardigan-Jacke lässig
https://tlk.s3.yandex.net/Fashion-200K/91015551_1.jpeg	womens black and white, abstract printed, full sleeve, polyester, top, t-shirt	damen schwarz und weiß, abstrakt bedruckt, volle Ärmel, Polyester, Oberteil, T-Shirt
https://tlk.s3.yandex.net/Fashion-200K/89710731_0.jpeg	Women's blue checkered short sleeved blouse	Damen blau karierte Kurzarmbluse
https://tlk.s3.yandex.net/Fashion-200K/76479030_2.jpeg	white T-shirt short sleeve round neck	weißes T-Shirt Kurzarm Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/90935518_2.jpeg	womens, off shoulder, black, full sleeve, skin-fit, cotton-spandex, t-shirts	damen, schulterfrei, schwarz, volle Ärmel, Skin-Fit, Baumwoll-Elasthan, T-Shirts
https://tlk.s3.yandex.net/Fashion-200K/88999790_0.jpeg	women trouser straight leg red plain material	damenhose mit geradem Bein rot unifarbenes Material
https://tlk.s3.yandex.net/Fashion-200K/91337626_1.jpeg	black women jacket sleeveless with turtle neck	schwarze Damenjacke ärmellos mit Rollkragen
https://tlk.s3.yandex.net/Fashion-200K/90575100_1.jpeg	blue printed flowy casual pants, loose pants	blau bedruckte fließende Freizeithose, lockere Hose
https://tlk.s3.yandex.net/Fashion-200K/91398396_1.jpeg	women long sleeve sweat shirt long blue and grey color, round neck	damen Langarm Sweat Shirt lange blaue und graue Farbe, Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/90841837_4.jpeg	gray midi skirt formal office skirt, thick material	grauer Midirock formeller Bürorock, dickes Material
https://tlk.s3.yandex.net/Fashion-200K/73691008_1.jpeg	womens trendy, velvet, gray, half sleeve, wavy style, long dress	damen trendy, Samt, Grau, Halbarm, welliger Stil, langes Kleid
https://tlk.s3.yandex.net/Fashion-200K/88892648_10.jpeg	Men's green khaki casual outdoor shorts	Lässige Outdoor-Shorts für Herren in grünem Khaki
https://tlk.s3.yandex.net/Fashion-200K/91393839_2.jpeg	white printed long formal dress, sleeveless	weißes bedrucktes langes formelles Kleid, ärmellos
https://tlk.s3.yandex.net/Fashion-200K/52344058_1.jpeg	blue midi ball dress, printed sleeveless	blaues Midi-Ballkleid, ärmellos bedruckt
https://tlk.s3.yandex.net/Fashion-200K/89891589_1.jpeg	gray long tunic, round neck, soft material	graue lange Tunika, Rundhalsausschnitt, weiches Material
https://tlk.s3.yandex.net/Fashion-200K/90006392_2.jpeg	Women's pink fabric casual blazer jacket	Lässige Blazerjacke aus rosa Stoff für Damen
https://tlk.s3.yandex.net/Fashion-200K/90822649_1.jpeg	black skinny formal office pants, yellow line on the side	schwarze dünne formale Bürohose, gelbe Linie an der Seite
https://tlk.s3.yandex.net/Fashion-200K/89698048_0.jpeg	womens beautiful, white, cotton-lace, strapless, cute short dress	damen schönes, weißes, trägerloses, süßes kurzes Kleid aus Baumwollspitze
https://tlk.s3.yandex.net/Fashion-200K/90983207_0.jpeg	blue with floral print off shoulder crop top	schulterfreies Crop-Top in Blau mit Blumendruck
https://tlk.s3.yandex.net/Fashion-200K/91117319_0.jpeg	pink women skirt below knee level office wears	rosa Damenrock unter Kniehöhe Bürokleidung
https://tlk.s3.yandex.net/Fashion-200K/91392543_2.jpeg	green button down casual shirt, round edge	grünes Button-Down-Freizeithemd, runde Kante
https://tlk.s3.yandex.net/Fashion-200K/89438081_0.jpeg	Women's black sleeveless mini dress skirt	Schwarzer ärmelloser Minikleidrock für Damen
https://tlk.s3.yandex.net/Fashion-200K/71366377_1.jpeg	Black Halo Brooklyn Dress Flounced ruffles trim the three by four sleeve red	Schwarzes Halo Brooklyn Kleid Volants Rüschen trimmen die drei mal vier Ärmel rot
